tenor,corridor_skew,erp
1.0,0.0,0.0
2.0,0.0001,0.0001
3.0,0.0003,0.0003
4.0,0.0015,0.0015
5.0,0.0023,0.0023
6.0,0.0008,0.0008
7.0,0.0008,0.0008
8.0,0.0008,0.0008
9.0,0.0008,0.0008
10.0,0.0008,0.0008
11.0,0.0008,0.0008
12.0,0.0008,0.0008
13.0,0.0008,0.0008
14.0,0.0008,0.0008
15.0,0.0008,0.0008
16.0,0.0008,0.0008
17.0,0.0008,0.0008
18.0,0.0008,0.0008
19.0,0.0008,0.0008
20.0,0.0008,0.0008
21.0,0.0008,0.0008
22.0,0.0008,0.0008
23.0,0.0008,0.0008
24.0,0.0008,0.0008
25.0,0.0008,0.0008
26.0,0.0008,0.0008
27.0,0.0008,0.0008
28.0,0.0008,0.0008
29.0,0.0008,0.0008
30.0,0.0008,0.0008
