Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
US68389XBN49 ORACLE CORP 3.25% 15Nov2027,0.04935,0.97817,0.0325,2027-11-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBD66 ORACLE CORP 3.25% 15May2030,0.05975,0.90822,0.0325,2030-05-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAV73 ORACLE CORP 4.3% 08Jul2034,0.06635,0.8446,0.043,2034-07-08,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBE40 ORACLE CORP 3.9% 15May2035,0.0675,0.80656,0.039,2035-05-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBH70 ORACLE CORP 3.85% 15Jul2036,0.0681,0.78954,0.0385,2036-07-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBP96 ORACLE CORP 3.8% 15Nov2037,0.06925,0.75515,0.038,2037-11-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAE58 ORACLE CORP 6.5% 15Apr2038,0.06955,0.96065,0.065,2038-04-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAH89 ORACLE CORP 6.125% 08Jul2039,0.07145,0.9051,0.06125,2039-07-08,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAM74 ORACLE CORP 5.375% 15Jul2040,0.07385,0.82214,0.05375,2040-07-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAW56 ORACLE CORP 4.5% 08Jul2044,0.0754,0.69492,0.045,2044-07-08,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBF15 ORACLE CORP 4.125% 15May2045,0.07595,0.6542,0.04125,2045-05-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBJ37 ORACLE CORP 4% 15Jul2046,0.07555,0.63481,0.04,2046-07-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBQ79 ORACLE CORP 4% 15Nov2047,0.0759,0.62352,0.04,2047-11-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBG97 ORACLE CORP 4.375% 15May2055,0.0754,0.63044,0.04375,2055-05-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
