Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
US478160CE22 JOHNSON & JOHNSON 2.95% 03Mar2027,0.0417,0.99291,0.0295,2027-03-03,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160CK81 JOHNSON & JOHNSON 2.9% 15Jan2028,0.041697,0.9823,0.029,2028-01-15,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160AJ37 JOHNSON & JOHNSON 6.95% 01Sep2029,0.043271,1.07478,0.0695,2029-09-01,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160AL82 JOHNSON & JOHNSON 4.95% 15May2033,0.0459,1.01756,0.0495,2033-05-15,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160BJ28 JOHNSON & JOHNSON 4.375% 05Dec2033,0.0469,0.97666,0.04375,2033-12-05,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160BU72 JOHNSON & JOHNSON 3.55% 01Mar2036,0.0494,0.88872,0.0355,2036-03-01,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160CF96 JOHNSON & JOHNSON 3.625% 03Mar2037,0.0505,0.87883,0.03625,2037-03-03,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160AN49 JOHNSON & JOHNSON 5.95% 15Aug2037,0.0499,1.08095,0.0595,2037-08-15,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160CL64 JOHNSON & JOHNSON 3.4% 15Jan2038,0.0512,0.84885,0.034,2038-01-15,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160AT19 JOHNSON & JOHNSON 5.85% 15Jul2038,0.0509,1.0554,0.0585,2038-07-15,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160AV64 JOHNSON & JOHNSON 4.5% 01Sep2040,0.052,0.92251,0.045,2040-09-01,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160BA19 JOHNSON & JOHNSON 4.85% 15May2041,0.0524,0.95723,0.0485,2041-05-15,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160BK90 JOHNSON & JOHNSON 4.5% 05Dec2043,0.0537,0.88997,0.045,2043-12-05,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160BV55 JOHNSON & JOHNSON 3.7% 01Mar2046,0.0558,0.76644,0.037,2046-03-01,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160CG79 JOHNSON & JOHNSON 3.75% 03Mar2047,0.05635,0.75944,0.0375,2047-03-03,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
US478160CM48 JOHNSON & JOHNSON 3.5% 15Jan2048,0.05635,0.72458,0.035,2048-01-15,2995812500.0,"1,000.00 USD",,—,Johnson & Johnson
